priority,source,source_page,category,region,candidate_filename,direct_url,quarantine,status,notes
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 1 - Spring 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 2 - Spring 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 3 - Spring 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 4 - Spring 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 5 - Spring 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 6 - Spring 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 1 - Spring 2.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 2 - Spring 2.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 3 - Spring 2.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 4 - Spring 2.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 5 - Spring 2.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 6 - Spring 2.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 1 - Summer 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 2 - Summer 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 3 - Summer 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Ivy Road Primary School,https://www.ivyroadprimary.org.uk/maths/,school KIRF maths family,UK,Year 4 - Summer 1.pub,,no,candidate_not_fetched,Public KIRF family listed on school Maths page.
A,Kingsfold Primary School,https://www.kingsfoldprimary.com/curriculum-1/new-curriculum-2019/knowledge-organisers,school knowledge organiser,UK,Autumn 1 About Ourselves.pub,,no,candidate_not_fetched,Public knowledge-organiser file list.
A,Kingsfold Primary School,https://www.kingsfoldprimary.com/curriculum-1/new-curriculum-2019/knowledge-organisers,school knowledge organiser,UK,eyfsspring2thegreatoutdoorsknowledgeorganiser2.pub,,no,candidate_not_fetched,Public knowledge-organiser file list.
A,Christ Church Pellon C of E VC Primary School,https://www.christchurch-pellon.calderdale.sch.uk/pupils/year-1,school curriculum resource,UK,Year 1 RE.pub,,no,candidate_not_fetched,Public Year 1 curriculum file.
A,Ludwell Primary School,https://www.ludwell.wilts.sch.uk/news/new-joiners-september-2020,school parent agreement,UK,Home School Agreement 25 ParentCarer Copy Updated.pub,,no,candidate_not_fetched,Public new-joiners document.
A,St Paul's C.E Primary School,https://www.stpauls-school.co.uk/key-information/st-pauls-curriculum-plans/primary-curriculum/spanish,school curriculum intent,UK,Spanish curriculum intent.pub,,no,candidate_not_fetched,Public Spanish curriculum document.
A,St Mary's Roman Catholic Primary School,https://www.st-marys-clayton-le-moors.lancs.sch.uk/parent-information/policies,school medication form,UK,Medicine Form.pub,,no,candidate_not_fetched,Public medication form.
A,Lacock C of E Primary School,https://www.lacock.wilts.sch.uk/parents/whole-school-curriculum,school knowledge organiser,UK,Geography Year 1 Aut 2 2024 knowledge organiserwillow15.pub,,no,candidate_not_fetched,Independent School Jotter PUB on whole-school curriculum page.
B,Roman Catholic Parish of Shepperton,https://parish.rcdow.org.uk/shepperton/newsletters/,mislabel recovery negative,UK,29th Sunday in Ordinary Time 16.10.22.pub,https://parish.rcdow.org.uk/shepperton/wp-content/uploads/sites/108/2022/10/29th-Sunday-in-Ordinary-Time-16.10.22.pub_.pdf,no,candidate_not_fetched,Public archive label ends .pub but actual linked payload is PDF; retain as classifier negative.
B,Roman Catholic Parish of Shepperton,https://parish.rcdow.org.uk/shepperton/newsletters/,mislabel recovery negative,UK,15th Sunday in Ordinary Time 10.07.22.pub,https://parish.rcdow.org.uk/shepperton/wp-content/uploads/sites/108/2022/07/15th-Sunday-in-Ordinary-Time-10.07.22.pub_.pdf,no,candidate_not_fetched,Public archive label ends .pub but actual linked payload is PDF; retain as classifier negative.
